SENADOR,DEN 00001/2016,MPV 00663/2014,MPV 00664/2014,MPV 00665/2014,MPV 00672/2015,MPV 00677/2015,MPV 00678/2015,MPV 00688/2015,MPV 00692/2015,MPV 00693/2015,MPV 00696/2015,OFS 00088/2015,PDS 00347/2015,PEC 00003/2016,PEC 00007/2015,PEC 00030/2014,PEC 00031/2016,PEC 00032/2010,PEC 00033/2014,PEC 00040/2011,PEC 00043/2012,PEC 00074/2013,PEC 00078/2013,PEC 00084/2015,PEC 00098/2015,PEC 00099/2015,PEC 00113/2015,PEC 00128/2015,PEC 00133/2015,PEC 00143/2015,PEC 00152/2015,PEC 00159/2015,PLC 00002/2015,PLC 00007/2016,PLC 00015/2015,PLC 00023/2015,PLC 00026/2015,PLC 00057/2015,PLC 00075/2015,PLC 00101/2015,PLC 00125/2015,PLC 00167/2015,PLC 00186/2015,PLS 00078/2015,PLS 00130/2014,PLS 00131/2015,PLS 00141/2014,PLS 00201/2013,PLS 00274/2015,PLS 00316/2015,PLS 00375/2011,PLS 00389/2015,PLS 00400/2014,PLS 00477/2011,PLS 00501/2013,PLS 00525/2015,PRS 00029/2016,SCD 00005/2015
Blairo Maggi - PR/MT,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,?,?,P-NRV,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,?,P-NRV,?,Sim,Sim,Sim,Sim,Não,P-NRV,?,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,?,Sim,Não,?,Sim,Sim,Sim
Cássio Cunha Lima - PSDB/PB,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim,?,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,?,Sim,Sim,Sim
Cidinho Santos - PR/MT,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,Sim,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?
Ciro Nogueira - PP/PI,Sim,P-NRV,Sim,P-NRV,Sim,P-NRV,?,?,Sim,Sim,Sim,?,?,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,?,?,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,P-NRV,Sim,Não,Sim,Sim,Sim,Sim
Cristovam Buarque - PDT/DF,Sim,Sim,Não,Não,Sim,?,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Ncom,Sim,Não,Sim,?,Não,Sim,P-NRV,Sim,?,?,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,?
Dalirio Beber - PSDB/SC,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,?,P-NRV,Sim,Sim,Sim,?,Sim,Sim,?,Sim,?,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,P-NRV,?,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,?,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,?
Dário Berger - PMDB/SC,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Sim,Sim,?,P-NRV,Sim,P-NRV,?,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Davi Alcolumbre - DEM/AP,Sim,Sim,Não,Não,Não,P-NRV,Não,Não,Sim,?,P-NRV,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Ncom,Sim,Sim,Sim,Sim,?,Sim,P-NRV,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
Deca - PSDB/PB,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Delcídio do Amaral - PT/MS,?,Não,Sim,Sim,Sim,Não,Sim,Sim,?,?,?,?,Sim,?,Sim,?,?,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,?,?,?,?,?,?,?,Sim,?,Sim,?,Sim,Sim,Sim,Sim,?,?,?,?,Sim,?,?,P-NRV,Sim,?,Sim,?,Sim,?,Sim,Sim,?,Sim
Donizeti Nogueira - PT/TO,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,?,Sim,?,?,Sim,Sim,Sim,?,P-NRV,Sim,Sim,Sim,?,?,Sim,P-NRV,Sim,Sim,?,Sim,?,Sim,?,Sim,Sim,Sim,Não,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Não,Sim,Sim,Sim,Sim,Sim
Douglas Cintra - PTB/PE,?,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,?,Não,Sim,P-NRV,Não,Sim,?,?,Sim,P-NRV,Sim,?,Sim,Sim,Sim,Sim,?,?,Sim,?,Sim,P-NRV,?,Não,?,Sim,?,Sim,P-NRV,Não,Sim,?,P-NRV,Sim,?,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,P-NRV,Não,Sim,Sim,?,P-NRV
Edison Lobão - PMDB/MA,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,?,Sim,Sim,Sim,Não,P-NRV,Sim,P-NRV,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Eduardo Amorim - PSC/SE,Sim,Não,?,Não,Não,Não,P-NRV,Não,Sim,?,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Não,Sim,Ncom,Sim,P-NRV,Sim,P-NRV,Não,Sim,Sim,Sim,Não,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,Sim
Eduardo Braga - PMDB/AM,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,Sim,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,Sim,?,Não,?,?,?,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?
Eduardo Lopes - PRB/RJ,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,Sim,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,Sim,?,Não,?,?,?,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?
Elber Batalha - PSB/SE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Elmano Férrer - PTB/PI,Não,Não,Sim,P-NRV,Sim,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Eunício Oliveira - PMDB/CE,Sim,Não,Sim,Sim,P-NRV,Não,?,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,?,Sim,P-NRV,Sim,P-NRV
Fátima Bezerra - PT/RN,Não,Não,Sim,Sim,Sim,P-NRV,P-NRV,?,Sim,Sim,?,?,?,P-NRV,Sim,Sim,Não,Sim,P-NRV,?,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,?,Não,?,Sim,Sim,Sim,Sim,Sim
Fernando Bezerra Coelho - PSB/PE,Sim,Não,Sim,Sim,P-NRV,Não,Não,Sim,Sim,P-NRV,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,?,?,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,?,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim
Fernando Collor - PTB/AL,Sim,P-NRV,Sim,Não,Não,P-NRV,Não,Sim,Sim,P-NRV,P-NRV,Sim,P-NRV,Sim,?,Sim,Sim,P-NRV,Sim,P-NRV,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,P-NRV,?,P-NRV,Sim,Sim,?,Não,Não,P-NRV,Sim,Sim,Não,Sim,Sim,Não,P-NRV,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Não,Sim,P-NRV,Sim,Sim
Fernando Ribeiro - PMDB/PA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P-NRV,?,?,?,?,?,?,?,?,?,?,?,?,?
Flexa Ribeiro - PSDB/PA,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
Garibaldi Alves Filho - PMDB/RN,Sim,Não,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim
Gladson Cameli - PP/AC,Sim,P-NRV,?,?,P-NRV,Não,?,?,Sim,P-NRV,P-NRV,?,?,Sim,Sim,Sim,Sim,P-NRV,Sim,?,Sim,Sim,Sim,Sim,Sim,?,?,Sim,P-NRV,P-NRV,P-NRV,Sim,Sim,?,Sim,?,Sim,Sim,?,P-NRV,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,?,P-NRV,P-NRV,?,P-NRV,?,Não,P-NRV,Sim,Sim,Sim
Gleisi Hoffmann - PT/PR,Não,Não,Sim,Sim,P-NRV,Não,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Não,?,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,P-NRV
Hélio José - PSD/DF,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,?,?,Sim,?,Não,Sim,Sim,Sim,Não,Sim,?,Sim,Sim,Sim,?,Sim,?,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Humberto Costa - PT/PE,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Ncom,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,P-NRV,Sim,Sim
Ivo Cassol - PP/RO,Sim,Não,P-NRV,Sim,Sim,Não,Não,Sim,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Sim,P-NRV,Sim,P-NRV,Não,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
Jader Barbalho - PMDB/PA,Sim,Não,Sim,Sim,P-NRV,Não,P-NRV,Sim,Sim,?,Sim,Sim,P-NRV,?,Sim,P-NRV,P-NRV,?,Sim,?,?,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,?,?,?,Sim,Não,P-NRV,Sim,P-NRV,Sim,?,P-NRV,?,?,?,Sim,?,?,Sim,?,?,Sim,?,Sim,P-NRV,Sim,P-NRV,Sim,Sim,?,Sim
João Alberto Souza - PMDB/MA,Sim,P-NRV,Sim,P-NRV,Sim,Não,P-NRV,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,P-NRV,P-NRV,Sim,P-NRV,P-NRV,Sim,Sim,P-NRV,Sim,?,?,P-NRV,Sim,P-NRV,P-NRV,Sim,Sim,P-NRV,Sim,?,Sim,Sim,Não,?,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,P-NRV,P-NRV,Sim,P-NRV,Não,P-NRV,Sim,P-NRV,?,Sim
João Capiberibe - PSB/AP,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,P-NRV,Sim,Não,Sim,Não,Sim,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,P-NRV,Sim,Sim,Sim,Sim,P-NRV
Jorge Viana - PT/AC,Não,Não,Sim,P-NRV,Sim,Não,Sim,Sim,?,?,?,Sim,Sim,Sim,?,Sim,Sim,P-NRV,Sim,Sim,Sim,?,Sim,Sim,Sim,?,?,Sim,?,Sim,Sim,Sim,?,P-NRV,Sim,?,Sim,Sim,Sim,P-NRV,Sim,?,Sim,Sim,Sim,?,?,Sim,Sim,Sim,?,Não,?,Sim,Sim,P-NRV,Sim,Sim
José Agripino - DEM/RN,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Sim,Sim,Não,Não,?,Sim,Sim,Não,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
José Aníbal - PSDB/SP,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,Sim,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,Sim,?,P-NRV,?,?,?,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?
José Maranhão - PMDB/PB,Sim,Não,?,?,Não,Não,Não,Sim,Sim,Sim,?,Sim,Sim,Sim,?,Sim,Sim,?,Sim,Sim,?,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,Sim,Sim,?,Sim,Sim,?,P-NRV,Sim,?,P-NRV,Sim,Sim,Não,P-NRV,Sim,Sim,Sim
José Medeiros - PPS/MT,Sim,P-NRV,Sim,Não,?,Sim,P-NRV,P-NRV,Não,?,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim
José Pimentel - PT/CE,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
José Serra - PSDB/SP,Sim,Não,Não,P-NRV,Não,Não,Sim,Não,Sim,?,P-NRV,Sim,P-NRV,Sim,Sim,?,?,Sim,Sim,Sim,?,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,P-NRV,Sim,Sim,?,P-NRV,?,Sim,Sim,Sim,Não,Não,Sim,?,?,Sim,Sim,Não,Sim,Sim,P-NRV,Sim,Sim,Sim,?,Sim,P-NRV,Sim,Sim,Sim,Sim
Kátia Abreu - PMDB/TO,Não,?,?,?,?,?,?,?,?,?,?,?,?,?,?,P-NRV,Sim,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?
Lasier Martins - PDT/RS,Sim,Sim,?,?,Não,Não,Sim,Não,P-NRV,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
Lídice da Mata - PSB/BA,Não,Não,Sim,Não,Não,?,Não,Sim,?,Sim,Não,Sim,Sim,?,Sim,Sim,Não,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,P-NRV,Sim,Sim,Sim,Não,Sim,Sim,?,Sim,Sim
Lindbergh Farias - PT/RJ,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,Sim,Sim,Sim
